noteInRange,tickStart,tickEnd,pitch,velocity
11,127200,127680,58,110
12,127680,128160,56,90
11,128160,128640,58,70
11,128640,129120,58,70
11,129120,129600,58,90
10,129600,130080,59,110
11,130080,130560,58,70
12,130560,131040,56,70
11,131040,131520,58,90
8,131520,132000,63,90
9,132000,132480,62,110
7,132480,132960,65,70
9,132960,133440,62,70
10,133440,133920,59,110
12,133920,134400,56,70
14,134400,134880,53,110
11,134880,135360,58,90
9,135360,135840,62,70
12,135840,136320,56,70
14,136320,136800,53,90
14,136800,137280,53,90
10,137280,137760,59,90
9,137760,138240,62,70
7,138240,138720,65,90
6,138720,139200,66,70
6,139200,139680,66,90
6,139680,140160,66,90
7,140160,140640,65,90
8,140640,141120,63,90
8,141120,141600,63,70
9,141600,142080,62,90
10,142080,142560,59,110
8,142560,143040,63,110
10,143040,143520,59,90
11,143520,144000,58,90
11,144000,144480,58,90
9,144480,144960,62,90
11,144960,145440,58,110
12,145440,145920,56,90
13,145920,146400,54,70
13,146400,146880,54,70
14,146880,147360,53,110
13,147360,147840,54,70
15,147840,148320,51,70
13,148320,148800,54,90
13,148800,149280,54,90
14,149280,149760,53,110
10,149760,150240,59,90
8,150240,150720,63,70
9,150720,151200,62,110
10,151200,151680,59,90
9,151680,152160,62,110
9,152160,152640,62,90
10,152640,153120,59,110
9,153120,153600,62,90
8,153600,154080,63,90
9,154080,154560,62,90
8,154560,155040,63,90
10,155040,155520,59,70
8,155520,156000,63,110
9,156000,156480,62,110
9,156480,156960,62,110
7,156960,157440,65,70
9,157440,157920,62,90
10,157920,158400,59,90
8,158400,158880,63,90
9,158880,159360,62,90
11,159360,159840,58,70
12,159840,160320,56,90
12,160320,160800,56,70
9,160800,161280,62,90
10,161280,161760,59,70
8,161760,162240,63,90
9,162240,162720,62,90
12,162720,163200,56,70
10,163200,163680,59,110
13,163680,164160,54,90
13,164160,164640,54,90
11,164640,165120,58,90
10,165120,165600,59,110
8,165600,166080,63,90
7,166080,166560,65,70
8,166560,167040,63,110
8,167040,167520,63,70
10,167520,168000,59,90
9,168000,168480,62,110
8,168480,168960,63,70
12,168960,169440,56,70
14,169440,169920,53,110
14,169920,170400,53,90
13,170400,170880,54,110
11,170880,171360,58,90
11,171360,171840,58,110
12,171840,172320,56,110
10,172320,172800,59,70
8,172800,173280,63,90
11,173280,173760,58,110
11,173760,174240,58,90
12,174240,174720,56,110
12,174720,175200,56,70
12,175200,175680,56,90
13,175680,176160,54,70
12,176160,176640,56,70
11,176640,177120,58,70
11,177120,177600,58,90
10,177600,178080,59,70
11,178080,178560,58,70
12,178560,179040,56,70
8,179040,179520,63,110
8,179520,180000,63,70
7,180000,180480,65,110
9,180480,180960,62,90
8,180960,181440,63,70
8,181440,181920,63,110
6,181920,182400,66,110
8,182400,182880,63,70
8,182880,183360,63,90
9,183360,183840,62,90
9,183840,184320,62,90
7,184320,184800,65,90
10,184800,185280,59,70
9,185280,185760,62,90
9,185760,186240,62,90
8,186240,186720,63,70
13,186720,187200,54,110
12,187200,187680,56,90
14,187680,188160,53,90
13,188160,188640,54,90
13,188640,189120,54,70
9,189120,189600,62,70
11,189600,190080,58,90
10,190080,190560,59,90
10,190560,191040,59,110
12,191040,191520,56,110
10,191520,192000,59,110
9,192000,192480,62,70
11,192480,192960,58,90
11,192960,193440,58,90
9,193440,193920,62,110
12,193920,194400,56,110
9,194400,194880,62,110
9,194880,195360,62,70
10,195360,195840,59,90
9,195840,196320,62,70
12,196320,196800,56,90
12,196800,197280,56,110
12,197280,197760,56,110
11,197760,198240,58,90
13,198240,198720,54,90
11,198720,199200,58,90
8,199200,199680,63,90
9,199680,200160,62,110
11,200160,200640,58,70
10,200640,201120,59,70
8,201120,201600,63,90
7,201600,202080,65,110
6,202080,202560,66,110
6,202560,203040,66,70
9,203040,203520,62,90
11,203520,204000,58,110
12,204000,204480,56,110
12,204480,204960,56,90
12,204960,205440,56,90
11,205440,205920,58,110
10,205920,206400,59,110
11,206400,206880,58,90
10,206880,207360,59,90
9,207360,207840,62,110
8,207840,208320,63,70
9,208320,208800,62,90
11,208800,209280,58,90
11,209280,209760,58,110
12,209760,210240,56,90
11,210240,210720,58,90
10,210720,211200,59,110
8,211200,211680,63,110
9,211680,212160,62,110
8,212160,212640,63,90
9,212640,213120,62,110
11,213120,213600,58,110
11,213600,214080,58,110
11,214080,214560,58,90
13,214560,215040,54,90
12,215040,215520,56,90
11,215520,216000,58,110
11,216000,216480,58,90
11,216480,216960,58,110
11,216960,217440,58,70
11,217440,217920,58,90
11,217920,218400,58,70
10,218400,218880,59,70
9,218880,219360,62,90
8,219360,219840,63,110
5,219840,220320,68,90
7,220320,220800,65,70
6,220800,221280,66,90
6,221280,221760,66,110
8,221760,222240,63,70
8,222240,222720,63,90
9,222720,223200,62,110
12,223200,223680,56,90
10,223680,224160,59,70
8,224160,224640,63,90
9,224640,225120,62,90
10,225120,225600,59,110
9,225600,226080,62,110
9,226080,226560,62,70
9,226560,227040,62,90
11,227040,227520,58,90
12,227520,228000,56,90
10,228000,228480,59,110
12,228480,228960,56,90
13,228960,229440,54,110
14,229440,229920,53,110
12,229920,230400,56,110
7,230400,230880,65,110
8,230880,231360,63,90
8,231360,231840,63,90
8,231840,232320,63,90
7,232320,232800,65,110
9,232800,233280,62,70
10,233280,233760,59,90
10,233760,234240,59,90
10,234240,234720,59,90
11,234720,235200,58,90
12,235200,235680,56,110
10,235680,236160,59,90
10,236160,236640,59,110
8,236640,237120,63,90
7,237120,237600,65,90
6,237600,238080,66,90
4,238080,238560,70,90
7,238560,239040,65,90
7,239040,239520,65,70
9,239520,240000,62,90
9,240000,240480,62,70
9,240480,240960,62,110
11,240960,241440,58,110
11,241440,241920,58,70
9,241920,242400,62,70
6,242400,242880,66,90
6,242880,243360,66,90
7,243360,243840,65,110
5,243840,244320,68,110
6,244320,244800,66,110
4,244800,245280,70,110
6,245280,245760,66,110
6,245760,246240,66,70
6,246240,246720,66,90
9,246720,247200,62,90
11,247200,247680,58,90
9,247680,248160,62,70
11,248160,248640,58,90
9,248640,249120,62,70
11,249120,249600,58,90
10,249600,250080,59,90
8,250080,250560,63,110
9,250560,251040,62,90
7,251040,251520,65,90
9,251520,252000,62,70
5,252000,252480,68,90
7,252480,252960,65,90
7,252960,253440,65,90
7,253440,253920,65,90
8,253920,254400,63,90
7,254400,254880,65,110
9,254880,255360,62,110
9,255360,255840,62,90
9,255840,256320,62,90
6,256320,256800,66,110
5,256800,257280,68,90
6,257280,257760,66,90
9,257760,258240,62,110
11,258240,258720,58,110
11,258720,259200,58,110
9,259200,259680,62,70
7,259680,260160,65,110
7,260160,260640,65,110
6,260640,261120,66,90
8,261120,261600,63,90
9,261600,262080,62,90
10,262080,262560,59,70
11,262560,263040,58,90
10,263040,263520,59,110
5,263520,264000,68,90
8,264000,264480,63,90
8,264480,264960,63,70
8,264960,265440,63,70
5,265440,265920,68,70
4,265920,266400,70,70
3,266400,266880,71,90
4,266880,267360,70,90
3,267360,267840,71,110
10,267840,268320,59,70
10,268320,268800,59,90
9,268800,269280,62,90
9,269280,269760,62,70
11,269760,270240,58,70
13,270240,270720,54,90
13,270720,271200,54,110
13,271200,271680,54,90
11,271680,272160,58,90
11,272160,272640,58,90
10,272640,273120,59,70
10,273120,273600,59,70
10,273600,274080,59,70
8,274080,274560,63,110
7,274560,275040,65,90
11,275040,275520,58,90
10,275520,276000,59,110
10,276000,276480,59,90
11,276480,276960,58,90
11,276960,277440,58,70
9,277440,277920,62,70
12,277920,278400,56,90
9,278400,278880,62,70
12,278880,279360,56,90
12,279360,279840,56,70
11,279840,280320,58,70
11,280320,280800,58,70
13,280800,281280,54,110
9,281280,281760,62,70
9,281760,282240,62,70
8,282240,282720,63,70
12,282720,283200,56,110
11,283200,283680,58,90
11,283680,284160,58,70
11,284160,284640,58,70
12,284640,285120,56,90
14,285120,285600,53,110
12,285600,286080,56,90
13,286080,286560,54,90
13,286560,287040,54,90
11,287040,287520,58,70
10,287520,288000,59,110
11,288000,288480,58,90
11,288480,288960,58,70
9,288960,289440,62,110
10,289440,289920,59,90
8,289920,290400,63,90
8,290400,290880,63,90
