noteInRange,tickStart,tickEnd,pitch,velocity
5,556320,556800,68,90
5,556800,557280,68,90
6,557280,557760,66,70
6,557760,558240,66,90
7,558240,558720,65,110
6,558720,559200,66,90
9,559200,559680,62,110
7,559680,560160,65,70
9,560160,560640,62,70
10,560640,561120,59,70
11,561120,561600,58,90
9,561600,562080,62,110
8,562080,562560,63,70
9,562560,563040,62,110
8,563040,563520,63,110
9,563520,564000,62,110
9,564000,564480,62,70
4,564480,564960,70,110
8,564960,565440,63,90
4,565440,565920,70,110
4,565920,566400,70,90
4,566400,566880,70,90
4,566880,567360,70,110
3,567360,567840,71,90
1,567840,568320,75,90
1,568320,568800,75,90
1,568800,569280,75,90
1,569280,569760,75,90
4,569760,570240,70,90
7,570240,570720,65,90
6,570720,571200,66,70
7,571200,571680,65,110
4,571680,572160,70,110
5,572160,572640,68,70
8,572640,573120,63,70
8,573120,573600,63,90
8,573600,574080,63,90
9,574080,574560,62,70
9,574560,575040,62,70
8,575040,575520,63,90
9,575520,576000,62,110
10,576000,576480,59,90
9,576480,576960,62,90
10,576960,577440,59,70
9,577440,577920,62,70
7,577920,578400,65,70
7,578400,578880,65,90
10,578880,579360,59,70
11,579360,579840,58,70
8,579840,580320,63,90
7,580320,580800,65,90
7,580800,581280,65,90
7,581280,581760,65,90
9,581760,582240,62,70
9,582240,582720,62,110
8,582720,583200,63,90
6,583200,583680,66,90
7,583680,584160,65,90
7,584160,584640,65,90
6,584640,585120,66,90
7,585120,585600,65,70
8,585600,586080,63,70
6,586080,586560,66,110
4,586560,587040,70,110
4,587040,587520,70,110
4,587520,588000,70,90
3,588000,588480,71,110
4,588480,588960,70,110
5,588960,589440,68,110
4,589440,589920,70,110
6,589920,590400,66,90
5,590400,590880,68,90
7,590880,591360,65,90
7,591360,591840,65,90
5,591840,592320,68,70
4,592320,592800,70,70
7,592800,593280,65,70
5,593280,593760,68,70
6,593760,594240,66,70
4,594240,594720,70,70
5,594720,595200,68,90
5,595200,595680,68,90
6,595680,596160,66,90
4,596160,596640,70,110
4,596640,597120,70,110
5,597120,597600,68,110
4,597600,598080,70,90
5,598080,598560,68,110
7,598560,599040,65,70
7,599040,599520,65,110
5,599520,600000,68,110
3,600000,600480,71,90
4,600480,600960,70,70
5,600960,601440,68,70
5,601440,601920,68,90
6,601920,602400,66,90
7,602400,602880,65,110
8,602880,603360,63,90
7,603360,603840,65,110
6,603840,604320,66,90
7,604320,604800,65,110
6,604800,605280,66,70
6,605280,605760,66,90
4,605760,606240,70,70
6,606240,606720,66,70
7,606720,607200,65,70
7,607200,607680,65,70
6,607680,608160,66,70
5,608160,608640,68,110
5,608640,609120,68,90
6,609120,609600,66,90
5,609600,610080,68,90
5,610080,610560,68,90
3,610560,611040,71,70
5,611040,611520,68,70
5,611520,612000,68,70
7,612000,612480,65,110
5,612480,612960,68,90
6,612960,613440,66,110
6,613440,613920,66,90
7,613920,614400,65,90
8,614400,614880,63,90
8,614880,615360,63,90
12,615360,615840,56,70
10,615840,616320,59,90
10,616320,616800,59,70
8,616800,617280,63,110
9,617280,617760,62,70
8,617760,618240,63,90
8,618240,618720,63,90
7,618720,619200,65,90
5,619200,619680,68,90
7,619680,620160,65,70
8,620160,620640,63,90
8,620640,621120,63,70
6,621120,621600,66,90
8,621600,622080,63,70
8,622080,622560,63,90
7,622560,623040,65,90
7,623040,623520,65,90
9,623520,624000,62,110
8,624000,624480,63,110
10,624480,624960,59,90
9,624960,625440,62,110
8,625440,625920,63,90
8,625920,626400,63,110
7,626400,626880,65,90
6,626880,627360,66,110
5,627360,627840,68,90
4,627840,628320,70,90
6,628320,628800,66,70
7,628800,629280,65,110
7,629280,629760,65,70
6,629760,630240,66,110
6,630240,630720,66,110
6,630720,631200,66,110
6,631200,631680,66,70
4,631680,632160,70,110
3,632160,632640,71,70
4,632640,633120,70,70
8,633120,633600,63,90
6,633600,634080,66,90
7,634080,634560,65,90
5,634560,635040,68,90
5,635040,635520,68,110
6,635520,636000,66,110
5,636000,636480,68,70
4,636480,636960,70,110
4,636960,637440,70,70
3,637440,637920,71,90
1,637920,638400,75,110
3,638400,638880,71,90
4,638880,639360,70,90
3,639360,639840,71,90
6,639840,640320,66,90
6,640320,640800,66,70
7,640800,641280,65,90
8,641280,641760,63,90
10,641760,642240,59,90
9,642240,642720,62,70
9,642720,643200,62,110
7,643200,643680,65,90
9,643680,644160,62,70
7,644160,644640,65,90
7,644640,645120,65,90
7,645120,645600,65,70
8,645600,646080,63,70
6,646080,646560,66,90
6,646560,647040,66,90
7,647040,647520,65,90
7,647520,648000,65,110
8,648000,648480,63,110
7,648480,648960,65,90
8,648960,649440,63,90
7,649440,649920,65,90
7,649920,650400,65,110
8,650400,650880,63,70
7,650880,651360,65,90
7,651360,651840,65,70
6,651840,652320,66,90
8,652320,652800,63,110
7,652800,653280,65,70
7,653280,653760,65,90
8,653760,654240,63,110
7,654240,654720,65,90
7,654720,655200,65,110
6,655200,655680,66,110
6,655680,656160,66,90
7,656160,656640,65,110
7,656640,657120,65,70
8,657120,657600,63,110
9,657600,658080,62,70
8,658080,658560,63,90
6,658560,659040,66,90
6,659040,659520,66,110
5,659520,660000,68,90
6,660000,660480,66,70
7,660480,660960,65,110
8,660960,661440,63,90
9,661440,661920,62,70
9,661920,662400,62,110
6,662400,662880,66,90
5,662880,663360,68,90
6,663360,663840,66,90
4,663840,664320,70,90
4,664320,664800,70,70
5,664800,665280,68,70
5,665280,665760,68,110
5,665760,666240,68,90
7,666240,666720,65,90
6,666720,667200,66,110
8,667200,667680,63,90
7,667680,668160,65,110
7,668160,668640,65,90
5,668640,669120,68,90
3,669120,669600,71,70
2,669600,670080,74,90
3,670080,670560,71,90
2,670560,671040,74,110
1,671040,671520,75,90
2,671520,672000,74,90
3,672000,672480,71,70
2,672480,672960,74,90
3,672960,673440,71,110
5,673440,673920,68,70
7,673920,674400,65,110
4,674400,674880,70,90
5,674880,675360,68,70
4,675360,675840,70,70
6,675840,676320,66,90
6,676320,676800,66,90
5,676800,677280,68,70
4,677280,677760,70,90
3,677760,678240,71,70
4,678240,678720,70,90
3,678720,679200,71,90
6,679200,679680,66,90
4,679680,680160,70,110
4,680160,680640,70,110
6,680640,681120,66,70
5,681120,681600,68,90
3,681600,682080,71,90
4,682080,682560,70,70
6,682560,683040,66,110
6,683040,683520,66,90
5,683520,684000,68,70
6,684000,684480,66,90
5,684480,684960,68,90
6,684960,685440,66,90
5,685440,685920,68,90
8,685920,686400,63,90
8,686400,686880,63,90
6,686880,687360,66,70
5,687360,687840,68,110
6,687840,688320,66,110
6,688320,688800,66,90
6,688800,689280,66,90
6,689280,689760,66,90
8,689760,690240,63,90
9,690240,690720,62,90
8,690720,691200,63,90
6,691200,691680,66,110
5,691680,692160,68,110
2,692160,692640,74,70
3,692640,693120,71,110
5,693120,693600,68,110
5,693600,694080,68,110
5,694080,694560,68,90
4,694560,695040,70,90
5,695040,695520,68,90
5,695520,696000,68,110
6,696000,696480,66,90
5,696480,696960,68,90
5,696960,697440,68,90
5,697440,697920,68,110
6,697920,698400,66,90
6,698400,698880,66,110
7,698880,699360,65,90
7,699360,699840,65,90
7,699840,700320,65,90
5,700320,700800,68,110
4,700800,701280,70,90
5,701280,701760,68,110
4,701760,702240,70,90
4,702240,702720,70,70
3,702720,703200,71,90
7,703200,703680,65,90
7,703680,704160,65,90
5,704160,704640,68,90
5,704640,705120,68,110
4,705120,705600,70,70
1,705600,706080,75,110
